date,Albert Reed,Dancing with the Stars,normalized_score
2007-09-24,2,28,7.142857142857142
2007-09-25,4,61,6.557377049180328
2007-09-26,9,56,16.071428571428573
2007-09-27,5,68,7.352941176470589
2007-09-28,1,14,7.142857142857142
2007-09-29,1,10,10.0
2007-09-30,1,8,12.5
2007-10-01,0,12,0.0
2007-10-02,3,53,5.660377358490567
2007-10-03,7,69,10.144927536231885
2007-10-04,1,17,5.88235294117647
2007-10-05,1,8,12.5
2007-10-06,0,7,0.0
2007-10-07,0,6,0.0
2007-10-08,0,10,0.0
2007-10-09,1,37,2.7027027027027026
2007-10-10,0,45,0.0
2007-10-11,0,12,0.0
2007-10-12,0,7,0.0
2007-10-13,0,5,0.0
2007-10-14,0,5,0.0
2007-10-15,0,6,0.0
2007-10-16,0,34,0.0
2007-10-17,0,50,0.0
2007-10-18,0,13,0.0
2007-10-19,0,7,0.0
2007-10-20,0,6,0.0
2007-10-21,0,6,0.0
2007-10-22,0,8,0.0
2007-10-23,0,71,0.0
2007-10-24,0,61,0.0
2007-10-25,0,17,0.0
2007-10-26,0,8,0.0
2007-10-27,0,7,0.0
2007-10-28,0,6,0.0
2007-10-29,0,7,0.0
2007-10-30,0,37,0.0
2007-10-31,0,100,0.0
2007-11-01,0,27,0.0
2007-11-02,0,12,0.0
2007-11-03,0,9,0.0
2007-11-04,0,6,0.0
2007-11-05,0,13,0.0
2007-11-06,0,53,0.0
2007-11-07,0,70,0.0
2007-11-08,0,24,0.0
2007-11-09,0,14,0.0
2007-11-10,0,12,0.0
2007-11-11,0,8,0.0
2007-11-12,0,10,0.0
2007-11-13,0,53,0.0
2007-11-14,0,69,0.0
2007-11-15,0,24,0.0
2007-11-16,0,11,0.0
2007-11-17,0,9,0.0
2007-11-18,0,7,0.0
2007-11-19,0,9,0.0
2007-11-20,0,59,0.0
2007-11-21,0,80,0.0
2007-11-22,0,23,0.0
2007-11-23,0,12,0.0
2007-11-24,0,11,0.0
2007-11-25,0,10,0.0
2007-11-26,0,14,0.0
2007-11-27,0,90,0.0
