date,Jason Taylor,Dancing with the Stars,normalized_score
2008-03-17,2,34,5.88235294117647
2008-03-18,11,87,12.643678160919542
2008-03-19,3,90,3.3333333333333335
2008-03-20,1,35,2.857142857142857
2008-03-21,1,18,5.555555555555555
2008-03-22,1,14,7.142857142857142
2008-03-23,1,13,7.6923076923076925
2008-03-24,1,20,5.0
2008-03-25,14,85,16.470588235294116
2008-03-26,9,94,9.574468085106384
2008-03-27,2,27,7.4074074074074066
2008-03-28,2,14,14.285714285714285
2008-03-29,1,11,9.090909090909092
2008-03-30,1,9,11.11111111111111
2008-03-31,1,12,8.333333333333332
2008-04-01,8,61,13.114754098360656
2008-04-02,3,85,3.5294117647058822
2008-04-03,1,26,3.8461538461538463
2008-04-04,1,12,8.333333333333332
2008-04-05,1,9,11.11111111111111
2008-04-06,1,9,11.11111111111111
2008-04-07,1,11,9.090909090909092
2008-04-08,6,54,11.11111111111111
2008-04-09,3,68,4.411764705882353
2008-04-10,1,19,5.263157894736842
2008-04-11,1,13,7.6923076923076925
2008-04-12,1,8,12.5
2008-04-13,0,7,0.0
2008-04-14,1,9,11.11111111111111
2008-04-15,6,56,10.714285714285714
2008-04-16,2,72,2.7777777777777777
2008-04-17,1,21,4.761904761904762
2008-04-18,1,14,7.142857142857142
2008-04-19,2,13,15.384615384615385
2008-04-20,1,9,11.11111111111111
2008-04-21,1,12,8.333333333333332
2008-04-22,5,57,8.771929824561402
2008-04-23,3,74,4.054054054054054
2008-04-24,2,25,8.0
2008-04-25,2,12,16.666666666666664
2008-04-26,3,11,27.27272727272727
2008-04-27,3,9,33.33333333333333
2008-04-28,1,11,9.090909090909092
2008-04-29,10,100,10.0
2008-04-30,7,97,7.216494845360824
2008-05-01,3,29,10.344827586206897
2008-05-02,1,13,7.6923076923076925
2008-05-03,1,11,9.090909090909092
2008-05-04,1,10,10.0
2008-05-05,1,12,8.333333333333332
2008-05-06,6,65,9.230769230769232
2008-05-07,4,90,4.444444444444445
2008-05-08,1,25,4.0
2008-05-09,1,12,8.333333333333332
2008-05-10,0,10,0.0
2008-05-11,1,9,11.11111111111111
2008-05-12,1,13,7.6923076923076925
2008-05-13,4,61,6.557377049180328
2008-05-14,3,79,3.79746835443038
2008-05-15,1,21,4.761904761904762
2008-05-16,1,10,10.0
2008-05-17,0,9,0.0
2008-05-18,1,9,11.11111111111111
2008-05-19,2,15,13.333333333333334
2008-05-20,9,90,10.0
