date,Kristi Yamaguchi,Dancing with the Stars,normalized_score
2008-03-17,1,34,2.941176470588235
2008-03-18,1,87,1.1494252873563218
2008-03-19,6,90,6.666666666666667
2008-03-20,2,35,5.714285714285714
2008-03-21,1,18,5.555555555555555
2008-03-22,1,14,7.142857142857142
2008-03-23,0,13,0.0
2008-03-24,1,20,5.0
2008-03-25,4,85,4.705882352941177
2008-03-26,3,94,3.1914893617021276
2008-03-27,1,27,3.7037037037037033
2008-03-28,1,14,7.142857142857142
2008-03-29,1,11,9.090909090909092
2008-03-30,0,9,0.0
2008-03-31,0,12,0.0
2008-04-01,3,61,4.918032786885246
2008-04-02,2,85,2.3529411764705883
2008-04-03,0,26,0.0
2008-04-04,0,12,0.0
2008-04-05,0,9,0.0
2008-04-06,0,9,0.0
2008-04-07,0,11,0.0
2008-04-08,2,54,3.7037037037037033
2008-04-09,2,68,2.941176470588235
2008-04-10,1,19,5.263157894736842
2008-04-11,0,13,0.0
2008-04-12,0,8,0.0
2008-04-13,0,7,0.0
2008-04-14,0,9,0.0
2008-04-15,4,56,7.142857142857142
2008-04-16,3,72,4.166666666666666
2008-04-17,1,21,4.761904761904762
2008-04-18,0,14,0.0
2008-04-19,0,13,0.0
2008-04-20,0,9,0.0
2008-04-21,1,12,8.333333333333332
2008-04-22,5,57,8.771929824561402
2008-04-23,2,74,2.7027027027027026
2008-04-24,1,25,4.0
2008-04-25,1,12,8.333333333333332
2008-04-26,0,11,0.0
2008-04-27,1,9,11.11111111111111
2008-04-28,1,11,9.090909090909092
2008-04-29,3,100,3.0
2008-04-30,1,97,1.0309278350515463
2008-05-01,1,29,3.4482758620689653
2008-05-02,1,13,7.6923076923076925
2008-05-03,1,11,9.090909090909092
2008-05-04,1,10,10.0
2008-05-05,0,12,0.0
2008-05-06,2,65,3.076923076923077
2008-05-07,1,90,1.1111111111111112
2008-05-08,1,25,4.0
2008-05-09,0,12,0.0
2008-05-10,1,10,10.0
2008-05-11,0,9,0.0
2008-05-12,0,13,0.0
2008-05-13,3,61,4.918032786885246
2008-05-14,2,79,2.5316455696202533
2008-05-15,1,21,4.761904761904762
2008-05-16,0,10,0.0
2008-05-17,0,9,0.0
2008-05-18,0,9,0.0
2008-05-19,1,15,6.666666666666667
2008-05-20,7,90,7.777777777777778
