date,Misty May-Treanor,Dancing with the Stars,normalized_score
2008-09-22,1,26,3.8461538461538463
2008-09-23,1,84,1.1904761904761905
2008-09-24,1,100,1.0
2008-09-25,0,61,0.0
2008-09-26,0,17,0.0
2008-09-27,0,10,0.0
2008-09-28,0,9,0.0
2008-09-29,0,10,0.0
2008-09-30,0,39,0.0
2008-10-01,0,49,0.0
2008-10-02,0,15,0.0
2008-10-03,0,7,0.0
2008-10-04,1,6,16.666666666666664
2008-10-05,1,7,14.285714285714285
2008-10-06,2,11,18.181818181818183
2008-10-07,3,32,9.375
2008-10-08,1,36,2.7777777777777777
2008-10-09,0,13,0.0
2008-10-10,0,7,0.0
2008-10-11,0,6,0.0
2008-10-12,0,4,0.0
2008-10-13,0,6,0.0
2008-10-14,0,24,0.0
2008-10-15,0,31,0.0
2008-10-16,0,10,0.0
2008-10-17,0,6,0.0
2008-10-18,0,4,0.0
2008-10-19,0,4,0.0
2008-10-20,0,6,0.0
2008-10-21,0,26,0.0
2008-10-22,0,41,0.0
2008-10-23,0,13,0.0
2008-10-24,0,7,0.0
2008-10-25,0,6,0.0
2008-10-26,0,4,0.0
2008-10-27,0,6,0.0
2008-10-28,0,25,0.0
2008-10-29,0,39,0.0
2008-10-30,0,10,0.0
2008-10-31,0,6,0.0
2008-11-01,0,4,0.0
2008-11-02,0,4,0.0
2008-11-03,0,5,0.0
2008-11-04,0,20,0.0
2008-11-05,0,11,0.0
2008-11-06,0,33,0.0
2008-11-07,0,10,0.0
2008-11-08,0,7,0.0
2008-11-09,0,6,0.0
2008-11-10,0,6,0.0
2008-11-11,0,23,0.0
2008-11-12,0,42,0.0
2008-11-13,0,13,0.0
2008-11-14,0,7,0.0
2008-11-15,0,6,0.0
2008-11-16,0,5,0.0
2008-11-17,0,6,0.0
2008-11-18,0,28,0.0
2008-11-19,0,42,0.0
2008-11-20,0,13,0.0
2008-11-21,0,8,0.0
2008-11-22,0,6,0.0
2008-11-23,0,5,0.0
2008-11-24,0,7,0.0
2008-11-25,0,42,0.0
