date,Chad Ochocinco,Dancing with the Stars,normalized_score
2010-03-22,1,22,4.545454545454546
2010-03-23,4,100,4.0
2010-03-24,1,31,3.225806451612903
2010-03-25,1,14,7.142857142857142
2010-03-26,1,9,11.11111111111111
2010-03-27,1,8,12.5
2010-03-28,1,11,9.090909090909092
2010-03-29,1,11,9.090909090909092
2010-03-30,4,67,5.970149253731343
2010-03-31,2,84,2.380952380952381
2010-04-01,1,21,4.761904761904762
2010-04-02,1,9,11.11111111111111
2010-04-03,1,10,10.0
2010-04-04,0,7,0.0
2010-04-05,1,10,10.0
2010-04-06,2,48,4.166666666666666
2010-04-07,2,71,2.8169014084507045
2010-04-08,1,22,4.545454545454546
2010-04-09,1,11,9.090909090909092
2010-04-10,1,8,12.5
2010-04-11,1,7,14.285714285714285
2010-04-12,1,8,12.5
2010-04-13,6,45,13.333333333333334
2010-04-14,3,75,4.0
2010-04-15,1,21,4.761904761904762
2010-04-16,1,10,10.0
2010-04-17,1,7,14.285714285714285
2010-04-18,1,6,16.666666666666664
2010-04-19,1,7,14.285714285714285
2010-04-20,3,35,8.571428571428571
2010-04-21,1,65,1.5384615384615385
2010-04-22,1,13,7.6923076923076925
2010-04-23,1,7,14.285714285714285
2010-04-24,1,6,16.666666666666664
2010-04-25,0,5,0.0
2010-04-26,0,6,0.0
2010-04-27,2,29,6.896551724137931
2010-04-28,1,48,2.083333333333333
2010-04-29,1,14,7.142857142857142
2010-04-30,0,6,0.0
2010-05-01,0,4,0.0
2010-05-02,1,4,25.0
2010-05-03,1,5,20.0
2010-05-04,3,26,11.538461538461538
2010-05-05,2,47,4.25531914893617
2010-05-06,1,19,5.263157894736842
2010-05-07,1,10,10.0
2010-05-08,0,6,0.0
2010-05-09,1,5,20.0
2010-05-10,1,7,14.285714285714285
2010-05-11,3,33,9.090909090909092
2010-05-12,1,45,2.2222222222222223
2010-05-13,0,13,0.0
2010-05-14,1,6,16.666666666666664
2010-05-15,0,5,0.0
2010-05-16,0,4,0.0
2010-05-17,1,6,16.666666666666664
2010-05-18,4,35,11.428571428571429
2010-05-19,4,51,7.8431372549019605
2010-05-20,1,14,7.142857142857142
2010-05-21,1,7,14.285714285714285
2010-05-22,1,6,16.666666666666664
2010-05-23,0,5,0.0
2010-05-24,1,9,11.11111111111111
2010-05-25,1,42,2.380952380952381
