date,Audrina Patridge,Dancing with the Stars,normalized_score
2010-09-20,1,19,5.263157894736842
2010-09-21,4,80,5.0
2010-09-22,3,71,4.225352112676056
2010-09-23,1,15,6.666666666666667
2010-09-24,1,7,14.285714285714285
2010-09-25,1,7,14.285714285714285
2010-09-26,1,5,20.0
2010-09-27,1,8,12.5
2010-09-28,6,46,13.043478260869565
2010-09-29,2,55,3.6363636363636362
2010-09-30,1,14,7.142857142857142
2010-10-01,1,7,14.285714285714285
2010-10-02,1,7,14.285714285714285
2010-10-03,1,5,20.0
2010-10-04,1,7,14.285714285714285
2010-10-05,3,33,9.090909090909092
2010-10-06,2,42,4.761904761904762
2010-10-07,1,12,8.333333333333332
2010-10-08,1,6,16.666666666666664
2010-10-09,1,4,25.0
2010-10-10,1,4,25.0
2010-10-11,1,6,16.666666666666664
2010-10-12,4,29,13.793103448275861
2010-10-13,1,40,2.5
2010-10-14,1,11,9.090909090909092
2010-10-15,1,6,16.666666666666664
2010-10-16,1,5,20.0
2010-10-17,1,4,25.0
2010-10-18,1,5,20.0
2010-10-19,3,22,13.636363636363635
2010-10-20,2,43,4.651162790697675
2010-10-21,1,11,9.090909090909092
2010-10-22,1,7,14.285714285714285
2010-10-23,1,5,20.0
2010-10-24,1,4,25.0
2010-10-25,1,5,20.0
2010-10-26,2,26,7.6923076923076925
2010-10-27,9,46,19.565217391304348
2010-10-28,3,12,25.0
2010-10-29,3,6,50.0
2010-10-30,2,5,40.0
2010-10-31,1,5,20.0
2010-11-01,1,6,16.666666666666664
2010-11-02,1,24,4.166666666666666
2010-11-03,1,45,2.2222222222222223
2010-11-04,1,11,9.090909090909092
2010-11-05,1,6,16.666666666666664
2010-11-06,1,5,20.0
2010-11-07,1,5,20.0
2010-11-08,0,5,0.0
2010-11-09,1,28,3.571428571428571
2010-11-10,1,53,1.8867924528301887
2010-11-11,0,15,0.0
2010-11-12,1,7,14.285714285714285
2010-11-13,1,6,16.666666666666664
2010-11-14,1,5,20.0
2010-11-15,0,6,0.0
2010-11-16,1,35,2.857142857142857
2010-11-17,1,100,1.0
2010-11-18,1,29,3.4482758620689653
2010-11-19,1,14,7.142857142857142
2010-11-20,0,11,0.0
2010-11-21,0,8,0.0
2010-11-22,0,12,0.0
2010-11-23,0,87,0.0
