date,Bristol Palin,Dancing with the Stars,normalized_score
2010-09-20,1,19,5.263157894736842
2010-09-21,12,80,15.0
2010-09-22,7,71,9.859154929577464
2010-09-23,3,15,20.0
2010-09-24,2,7,28.57142857142857
2010-09-25,2,7,28.57142857142857
2010-09-26,1,5,20.0
2010-09-27,1,8,12.5
2010-09-28,6,46,13.043478260869565
2010-09-29,5,55,9.090909090909092
2010-09-30,2,14,14.285714285714285
2010-10-01,1,7,14.285714285714285
2010-10-02,1,7,14.285714285714285
2010-10-03,1,5,20.0
2010-10-04,1,7,14.285714285714285
2010-10-05,3,33,9.090909090909092
2010-10-06,3,42,7.142857142857142
2010-10-07,1,12,8.333333333333332
2010-10-08,1,6,16.666666666666664
2010-10-09,1,4,25.0
2010-10-10,1,4,25.0
2010-10-11,1,6,16.666666666666664
2010-10-12,4,29,13.793103448275861
2010-10-13,3,40,7.5
2010-10-14,2,11,18.181818181818183
2010-10-15,1,6,16.666666666666664
2010-10-16,1,5,20.0
2010-10-17,1,4,25.0
2010-10-18,1,5,20.0
2010-10-19,3,22,13.636363636363635
2010-10-20,3,43,6.976744186046512
2010-10-21,1,11,9.090909090909092
2010-10-22,1,7,14.285714285714285
2010-10-23,1,5,20.0
2010-10-24,1,4,25.0
2010-10-25,1,5,20.0
2010-10-26,3,26,11.538461538461538
2010-10-27,3,46,6.521739130434782
2010-10-28,1,12,8.333333333333332
2010-10-29,1,6,16.666666666666664
2010-10-30,1,5,20.0
2010-10-31,1,5,20.0
2010-11-01,1,6,16.666666666666664
2010-11-02,3,24,12.5
2010-11-03,4,45,8.88888888888889
2010-11-04,3,11,27.27272727272727
2010-11-05,2,6,33.33333333333333
2010-11-06,1,5,20.0
2010-11-07,1,5,20.0
2010-11-08,1,5,20.0
2010-11-09,4,28,14.285714285714285
2010-11-10,7,53,13.20754716981132
2010-11-11,3,15,20.0
2010-11-12,2,7,28.57142857142857
2010-11-13,1,6,16.666666666666664
2010-11-14,2,5,40.0
2010-11-15,3,6,50.0
2010-11-16,6,35,17.142857142857142
2010-11-17,22,100,22.0
2010-11-18,17,29,58.620689655172406
2010-11-19,9,14,64.28571428571429
2010-11-20,7,11,63.63636363636363
2010-11-21,5,8,62.5
2010-11-22,6,12,50.0
2010-11-23,14,87,16.091954022988507
