date,Elisabetta Canalis,Dancing with the Stars,normalized_score
2011-09-19,0,21,0.0
2011-09-20,3,83,3.614457831325301
2011-09-21,3,100,3.0
2011-09-22,1,18,5.555555555555555
2011-09-23,0,11,0.0
2011-09-24,0,8,0.0
2011-09-25,0,10,0.0
2011-09-26,0,10,0.0
2011-09-27,2,71,2.8169014084507045
2011-09-28,8,80,10.0
2011-09-29,1,19,5.263157894736842
2011-09-30,1,11,9.090909090909092
2011-10-01,0,9,0.0
2011-10-02,0,6,0.0
2011-10-03,0,8,0.0
2011-10-04,0,54,0.0
2011-10-05,0,86,0.0
2011-10-06,0,19,0.0
2011-10-07,0,11,0.0
2011-10-08,0,10,0.0
2011-10-09,0,9,0.0
2011-10-10,0,9,0.0
2011-10-11,0,41,0.0
2011-10-12,0,64,0.0
2011-10-13,0,16,0.0
2011-10-14,0,8,0.0
2011-10-15,0,7,0.0
2011-10-16,0,6,0.0
2011-10-17,1,7,14.285714285714285
2011-10-18,0,36,0.0
2011-10-19,0,56,0.0
2011-10-20,0,15,0.0
2011-10-21,0,8,0.0
2011-10-22,0,7,0.0
2011-10-23,0,6,0.0
2011-10-24,0,7,0.0
2011-10-25,0,47,0.0
2011-10-26,0,66,0.0
2011-10-27,0,17,0.0
2011-10-28,0,9,0.0
2011-10-29,0,7,0.0
2011-10-30,0,7,0.0
2011-10-31,1,7,14.285714285714285
2011-11-01,0,29,0.0
2011-11-02,0,52,0.0
2011-11-03,1,14,7.142857142857142
2011-11-04,0,8,0.0
2011-11-05,0,6,0.0
2011-11-06,0,6,0.0
2011-11-07,0,7,0.0
2011-11-08,0,37,0.0
2011-11-09,0,53,0.0
2011-11-10,0,14,0.0
2011-11-11,0,8,0.0
2011-11-12,0,6,0.0
2011-11-13,0,6,0.0
2011-11-14,0,6,0.0
2011-11-15,0,38,0.0
2011-11-16,0,62,0.0
2011-11-17,0,18,0.0
2011-11-18,0,9,0.0
2011-11-19,0,8,0.0
2011-11-20,0,8,0.0
2011-11-21,0,12,0.0
2011-11-22,0,63,0.0
