date,Lisa Vanderpump,Dancing with the Stars,normalized_score
2013-03-18,2,28,7.142857142857142
2013-03-19,22,100,22.0
2013-03-20,7,39,17.94871794871795
2013-03-21,3,14,21.428571428571427
2013-03-22,3,9,33.33333333333333
2013-03-23,3,8,37.5
2013-03-24,2,7,28.57142857142857
2013-03-25,4,10,40.0
2013-03-26,18,57,31.57894736842105
2013-03-27,8,70,11.428571428571429
2013-03-28,3,18,16.666666666666664
2013-03-29,2,10,20.0
2013-03-30,2,7,28.57142857142857
2013-03-31,2,8,25.0
2013-04-01,2,8,25.0
2013-04-02,9,51,17.647058823529413
2013-04-03,4,55,7.2727272727272725
2013-04-04,2,15,13.333333333333334
2013-04-05,2,9,22.22222222222222
2013-04-06,1,7,14.285714285714285
2013-04-07,2,7,28.57142857142857
2013-04-08,2,7,28.57142857142857
2013-04-09,12,41,29.268292682926827
2013-04-10,9,51,17.647058823529413
2013-04-11,2,14,14.285714285714285
2013-04-12,1,8,12.5
2013-04-13,2,7,28.57142857142857
2013-04-14,1,6,16.666666666666664
2013-04-15,1,7,14.285714285714285
2013-04-16,1,33,3.0303030303030303
2013-04-17,2,46,4.3478260869565215
2013-04-18,2,13,15.384615384615385
2013-04-19,1,7,14.285714285714285
2013-04-20,1,6,16.666666666666664
2013-04-21,1,6,16.666666666666664
2013-04-22,1,6,16.666666666666664
2013-04-23,1,29,3.4482758620689653
2013-04-24,1,40,2.5
2013-04-25,1,12,8.333333333333332
2013-04-26,1,7,14.285714285714285
2013-04-27,1,6,16.666666666666664
2013-04-28,1,5,20.0
2013-04-29,1,6,16.666666666666664
2013-04-30,1,28,3.571428571428571
2013-05-01,1,38,2.631578947368421
2013-05-02,1,11,9.090909090909092
2013-05-03,1,7,14.285714285714285
2013-05-04,1,6,16.666666666666664
2013-05-05,1,6,16.666666666666664
2013-05-06,1,6,16.666666666666664
2013-05-07,0,30,0.0
2013-05-08,1,46,2.1739130434782608
2013-05-09,1,13,7.6923076923076925
2013-05-10,0,8,0.0
2013-05-11,1,6,16.666666666666664
2013-05-12,0,6,0.0
2013-05-13,1,7,14.285714285714285
2013-05-14,0,34,0.0
2013-05-15,1,54,1.8518518518518516
2013-05-16,0,15,0.0
2013-05-17,0,9,0.0
2013-05-18,0,7,0.0
2013-05-19,1,7,14.285714285714285
2013-05-20,0,11,0.0
2013-05-21,0,80,0.0
