date,Riker Lynch,Dancing with the Stars,normalized_score
2015-03-16,1,25,4.0
2015-03-17,10,100,10.0
2015-03-18,2,23,8.695652173913043
2015-03-19,1,13,7.6923076923076925
2015-03-20,1,8,12.5
2015-03-21,1,9,11.11111111111111
2015-03-22,1,8,12.5
2015-03-23,1,11,9.090909090909092
2015-03-24,9,88,10.227272727272728
2015-03-25,2,21,9.523809523809524
2015-03-26,1,7,14.285714285714285
2015-03-27,1,7,14.285714285714285
2015-03-28,1,8,12.5
2015-03-29,1,7,14.285714285714285
2015-03-30,1,9,11.11111111111111
2015-03-31,9,83,10.843373493975903
2015-04-01,2,18,11.11111111111111
2015-04-02,1,10,10.0
2015-04-03,1,10,10.0
2015-04-04,1,9,11.11111111111111
2015-04-05,1,11,9.090909090909092
2015-04-06,1,15,6.666666666666667
2015-04-07,12,72,16.666666666666664
2015-04-08,2,17,11.76470588235294
2015-04-09,2,13,15.384615384615385
2015-04-10,1,9,11.11111111111111
2015-04-11,1,7,14.285714285714285
2015-04-12,1,7,14.285714285714285
2015-04-13,1,10,10.0
2015-04-14,7,66,10.606060606060606
2015-04-15,2,16,12.5
2015-04-16,1,9,11.11111111111111
2015-04-17,1,7,14.285714285714285
2015-04-18,1,7,14.285714285714285
2015-04-19,1,7,14.285714285714285
2015-04-20,1,9,11.11111111111111
2015-04-21,14,59,23.728813559322035
2015-04-22,3,15,20.0
2015-04-23,1,9,11.11111111111111
2015-04-24,1,8,12.5
2015-04-25,1,7,14.285714285714285
2015-04-26,1,6,16.666666666666664
2015-04-27,1,9,11.11111111111111
2015-04-28,5,67,7.462686567164178
2015-04-29,1,31,3.225806451612903
2015-04-30,1,12,8.333333333333332
2015-05-01,1,9,11.11111111111111
2015-05-02,1,8,12.5
2015-05-03,1,8,12.5
2015-05-04,1,10,10.0
2015-05-05,7,56,12.5
2015-05-06,4,64,6.25
2015-05-07,1,15,6.666666666666667
2015-05-08,1,10,10.0
2015-05-09,1,8,12.5
2015-05-10,1,8,12.5
2015-05-11,1,12,8.333333333333332
2015-05-12,9,68,13.23529411764706
2015-05-13,6,69,8.695652173913043
2015-05-14,2,18,11.11111111111111
2015-05-15,1,11,9.090909090909092
2015-05-16,1,12,8.333333333333332
2015-05-17,2,12,16.666666666666664
2015-05-18,3,16,18.75
2015-05-19,10,87,11.494252873563218
