date,Ray Lewis,Dancing with the Stars,normalized_score
2019-09-16,2,25,8.0
2019-09-17,16,100,16.0
2019-09-18,3,23,13.043478260869565
2019-09-19,2,11,18.181818181818183
2019-09-20,2,8,25.0
2019-09-21,2,8,25.0
2019-09-22,2,8,25.0
2019-09-23,1,11,9.090909090909092
2019-09-24,8,64,12.5
2019-09-25,2,14,14.285714285714285
2019-09-26,1,8,12.5
2019-09-27,1,6,16.666666666666664
2019-09-28,1,6,16.666666666666664
2019-09-29,2,6,33.33333333333333
2019-09-30,2,10,20.0
2019-10-01,11,59,18.64406779661017
2019-10-02,2,11,18.181818181818183
2019-10-03,2,7,28.57142857142857
2019-10-04,1,5,20.0
2019-10-05,1,5,20.0
2019-10-06,2,5,40.0
2019-10-07,1,6,16.666666666666664
2019-10-08,2,45,4.444444444444445
2019-10-09,1,10,10.0
2019-10-10,1,6,16.666666666666664
2019-10-11,1,5,20.0
2019-10-12,1,5,20.0
2019-10-13,1,5,20.0
2019-10-14,1,8,12.5
2019-10-15,1,50,2.0
2019-10-16,1,10,10.0
2019-10-17,1,6,16.666666666666664
2019-10-18,1,4,25.0
2019-10-19,1,5,20.0
2019-10-20,1,5,20.0
2019-10-21,2,6,33.33333333333333
2019-10-22,1,53,1.8867924528301887
2019-10-23,1,13,7.6923076923076925
2019-10-24,1,7,14.285714285714285
2019-10-25,1,6,16.666666666666664
2019-10-26,1,6,16.666666666666664
2019-10-27,1,6,16.666666666666664
2019-10-28,1,8,12.5
2019-10-29,1,47,2.127659574468085
2019-10-30,1,11,9.090909090909092
2019-10-31,1,7,14.285714285714285
2019-11-01,1,4,25.0
2019-11-02,1,5,20.0
2019-11-03,1,4,25.0
2019-11-04,6,6,100.0
2019-11-05,1,64,1.5625
2019-11-06,1,14,7.142857142857142
2019-11-07,1,7,14.285714285714285
2019-11-08,1,6,16.666666666666664
2019-11-09,1,5,20.0
2019-11-10,1,5,20.0
2019-11-11,1,7,14.285714285714285
2019-11-12,1,60,1.6666666666666667
2019-11-13,1,10,10.0
2019-11-14,2,6,33.33333333333333
2019-11-15,2,4,50.0
2019-11-16,1,4,25.0
2019-11-17,2,4,50.0
2019-11-18,1,5,20.0
2019-11-19,1,66,1.5151515151515151
2019-11-20,1,12,8.333333333333332
2019-11-21,1,6,16.666666666666664
2019-11-22,1,5,20.0
2019-11-23,1,5,20.0
2019-11-24,2,6,33.33333333333333
2019-11-25,2,9,22.22222222222222
