date,Chrishell Stause,Dancing with the Stars,normalized_score
2020-09-14,1,22,4.545454545454546
2020-09-15,6,100,6.0
2020-09-16,2,27,7.4074074074074066
2020-09-17,1,13,7.6923076923076925
2020-09-18,1,9,11.11111111111111
2020-09-19,1,8,12.5
2020-09-20,1,7,14.285714285714285
2020-09-21,1,11,9.090909090909092
2020-09-22,1,19,5.263157894736842
2020-09-23,15,53,28.30188679245283
2020-09-24,2,13,15.384615384615385
2020-09-25,2,8,25.0
2020-09-26,1,7,14.285714285714285
2020-09-27,1,7,14.285714285714285
2020-09-28,1,10,10.0
2020-09-29,4,47,8.51063829787234
2020-09-30,1,9,11.11111111111111
2020-10-01,2,10,20.0
2020-10-02,1,5,20.0
2020-10-03,1,5,20.0
2020-10-04,1,5,20.0
2020-10-05,1,6,16.666666666666664
2020-10-06,10,62,16.129032258064516
2020-10-07,2,16,12.5
2020-10-08,1,6,16.666666666666664
2020-10-09,1,5,20.0
2020-10-10,1,5,20.0
2020-10-11,1,4,25.0
2020-10-12,1,5,20.0
2020-10-13,4,38,10.526315789473683
2020-10-14,1,9,11.11111111111111
2020-10-15,1,5,20.0
2020-10-16,1,4,25.0
2020-10-17,1,3,33.33333333333333
2020-10-18,1,3,33.33333333333333
2020-10-19,1,5,20.0
2020-10-20,6,40,15.0
2020-10-21,2,8,25.0
2020-10-22,1,4,25.0
2020-10-23,1,3,33.33333333333333
2020-10-24,1,3,33.33333333333333
2020-10-25,1,4,25.0
2020-10-26,1,5,20.0
2020-10-27,2,35,5.714285714285714
2020-10-28,1,7,14.285714285714285
2020-10-29,1,4,25.0
2020-10-30,1,3,33.33333333333333
2020-10-31,1,3,33.33333333333333
2020-11-01,1,3,33.33333333333333
2020-11-02,1,14,7.142857142857142
2020-11-03,3,42,7.142857142857142
2020-11-04,0,4,0.0
2020-11-05,1,3,33.33333333333333
2020-11-06,1,3,33.33333333333333
2020-11-07,3,3,100.0
2020-11-08,2,3,66.66666666666666
2020-11-09,2,4,50.0
2020-11-10,2,36,5.555555555555555
2020-11-11,1,6,16.666666666666664
2020-11-12,1,4,25.0
2020-11-13,1,3,33.33333333333333
2020-11-14,1,3,33.33333333333333
2020-11-15,1,3,33.33333333333333
2020-11-16,1,4,25.0
2020-11-17,1,39,2.564102564102564
2020-11-18,0,8,0.0
2020-11-19,0,4,0.0
2020-11-20,0,3,0.0
2020-11-21,0,3,0.0
2020-11-22,0,3,0.0
2020-11-23,0,7,0.0
