date,Phaedra Parks,Dancing with the Stars,normalized_score
2024-09-17,0,31,0.0
2024-09-18,5,100,5.0
2024-09-19,2,27,7.4074074074074066
2024-09-20,1,18,5.555555555555555
2024-09-21,1,15,6.666666666666667
2024-09-22,1,16,6.25
2024-09-23,0,16,0.0
2024-09-24,0,26,0.0
2024-09-25,4,86,4.651162790697675
2024-09-26,1,24,4.166666666666666
2024-09-27,0,14,0.0
2024-09-28,0,11,0.0
2024-09-29,0,9,0.0
2024-09-30,0,9,0.0
2024-10-01,0,13,0.0
2024-10-02,0,13,0.0
2024-10-03,0,7,0.0
2024-10-04,0,7,0.0
2024-10-05,0,6,0.0
2024-10-06,0,6,0.0
2024-10-07,0,13,0.0
2024-10-08,2,42,4.761904761904762
2024-10-09,2,56,3.571428571428571
2024-10-10,1,15,6.666666666666667
2024-10-11,0,10,0.0
2024-10-12,0,9,0.0
2024-10-13,0,8,0.0
2024-10-14,0,11,0.0
2024-10-15,0,15,0.0
2024-10-16,4,51,7.8431372549019605
2024-10-17,1,14,7.142857142857142
2024-10-18,1,10,10.0
2024-10-19,0,8,0.0
2024-10-20,0,8,0.0
2024-10-21,0,8,0.0
2024-10-22,0,15,0.0
2024-10-23,4,61,6.557377049180328
2024-10-24,1,15,6.666666666666667
2024-10-25,1,11,9.090909090909092
2024-10-26,0,11,0.0
2024-10-27,0,9,0.0
2024-10-28,0,9,0.0
2024-10-29,0,14,0.0
2024-10-30,0,56,0.0
2024-10-31,0,11,0.0
2024-11-01,0,9,0.0
2024-11-02,0,9,0.0
2024-11-03,0,7,0.0
2024-11-04,0,7,0.0
2024-11-05,0,7,0.0
2024-11-06,0,6,0.0
2024-11-07,0,6,0.0
2024-11-08,0,5,0.0
2024-11-09,0,5,0.0
2024-11-10,0,5,0.0
2024-11-11,0,6,0.0
2024-11-12,0,10,0.0
2024-11-13,0,61,0.0
2024-11-14,0,13,0.0
2024-11-15,0,8,0.0
2024-11-16,0,8,0.0
2024-11-17,0,8,0.0
2024-11-18,0,6,0.0
2024-11-19,0,11,0.0
2024-11-20,0,74,0.0
2024-11-21,0,15,0.0
2024-11-22,0,9,0.0
2024-11-23,0,14,0.0
2024-11-24,0,10,0.0
2024-11-25,0,10,0.0
2024-11-26,0,31,0.0
